ID	Value
msd2001	से\PSP ऊ\PR_PRP मजदूर\N_NN के\PSP घरे\N_NN जाय\V_VM ला\PSP कह\V_VM देलक\V_VAUX ।\RD_PUNC
msd2002	रात\N_NN में\PSP ऊ\PR_PRP अपने\PR_PRP हाय\N_NN से\PSP सोना\N_NN के\PSP ईटा\N_NN कबार\V_VM लेलक\V_VAUX ।\RD_PUNC
msd2003	दोसर\QT_QTO दिन\N_NN दाई\N_NN के\PSP बजार\N_NN में\PSP ओकरा\PR_PRP बेचे\V_VM ला\PSP भेजलक\V_VM ।\RD_PUNC
msd2004	दाई\N_NN सोना\N_NN के\PSP ईंटा\N_NN बेच\N_NN के\PSP बड़ी\JJ मनी\N_NN रोपेआ\N_NN लवलक\V_VM ।\RD_PUNC
msd2005	राजकुमारी\N_NN ढिंढोरा\N_NN पिटा\V_VM देलक\V_VAUX कि\CC_CCS जे\PR_PRL मिस्त्री\N_NN हमर\PR_PRP सबसे\N_NN बढ़िया\JJ मकान\N_NN बनाबत\N_NN ओकरा\PR_PRP से\PSP हम\PR_PRP महल\N_NN बनवायव\V_VM ।\RD_PUNC
msd2006	बहुत\N_NN मिस्त्री\N_NN अप्पन-अप्पन\PR_PRP नकसा\N_NN के\PSP साथ\PSP अयलन\V_VM बाकि\CC_CCD केकरो\PR_PRI नकखा\N_NN पास\N_NN न\RP_NEG भेल\V_VM ।\RD_PUNC
msd2007	एगो\QT_QTC पहचानल\N_NN नियन\RP_RPD राजमिस्त्री\N_NN आयल\V_VM जेकरा\PR_PRL देख\V_VM के\PSP राजकुमारी\N_NN कहलन\V_VM कि\CC_CCS तुहीं\PR_PRP फलाना\N_NN जगह\N_NN के\PSP बादसाह\N_NN के\PSP महल\N_NN बनौले\V_VM हें\V_VAUX ।\RD_PUNC
msd2008	तो\PR_PRL राज\N_NN कहलक\V_VM कि\CC_CCS हा\V_VAUX ।\RD_PUNC
msd2009	तो\PR_PRL हम्मर\PR_PRP महल\N_NN ओकरो\PR_PRP से\PSP अच्छा\N_NN बने\V_VM के\PSP चाहीं\N_NN ।\RD_PUNC
msd2010	राज\N_NN तैयार\N_NN हो\V_VM गेल\V_VAUX आउ\CC_CCD महल\N_NN बनाबे\V_VM लगल\V_VAUX ।\RD_PUNC
msd2011	राजकुमारी\N_NN राज\N_NN के\PSP कहे\V_VM के\PSP मोताबिक\N_NN सव\QT_QTF समान\N_NN जुटा\V_VM देलक\V_VAUX ।\RD_PUNC
msd2012	कुछ\QT_QTF दिन\N_NN के\PSP बाद\N_NN महल\N_NN बनके\V_VM तैयार\N_NN हो\V_VM गेल\V_VAUX ।\RD_PUNC
msd2013	खूव\RB बढ़िया\JJ आउ\CC_CCD सुन्नर\JJ ।\RD_PUNC
msd2014	एक\QT_QTC दफे\N_NN जब\PR_PRL राजा\N_NN तीर्थ\N_NN करे\V_VM ला\PSP जाय\V_VM लगलन\V_VAUX तो\PR_PRL अप्पन\PR_PRP छवो\QT_QTC बेटी\N_NN से\PSP पुछलन\V_VM कि\CC_CCS तोहनी\PR_PRP ला\PSP हम\PR_PRP बाहर\N_NN से\PSP का\PR_PRQ लयवो\V_VM ।\RD_PUNC
msd2015	छवो\QT_QTC बेटी\N_NN अप्पन-अप्पन\PR_PRP फरमाइस\N_NN राजा\N_NN के\PSP लिखा\V_VM देलन\V_VAUX ।\RD_PUNC
msd2016	राजा\N_NN जगंल\N_NN में\PSP छोटकी\JJ बेटी\N_NN के\PSP पास\N_NN गेलन\V_VM आउ\CC_CCD अप्पन\PR_PRP दाई\N_NN से\PSP ओकर\PR_PRP फरमाइस\N_NN पुछवलन\V_VM ।\RD_PUNC
msd2017	दाई\N_NN आके\V_VM राजा\N_NN से\PSP कहलन\V_VM कि\CC_CCS छोटकी\JJ माई\N_NN कहइत\V_VM हथिन\V_VAUX कि\CC_CCS उनका\PR_PRP ला\PSP एगेा\QT_QTC हारुनी\N_NN पंखा\N_NN लेले\V_VM अइथिन\V_VAUX ।\RD_PUNC
msd2018	राजा\N_NN एकरो\DM_DMD लिख\V_VM के\PSP जात्रा\N_NN पर\PSP निकल\V_VM गेलन\V_VAUX ।\RD_PUNC
msd2019	तीरथ\N_NN करके\V_VM जब\PR_PRL लौटे\V_VM लगलन\V_VAUX आउ\CC_CCD जहाज\N_NN पर\PSP सब\QT_QTF समान\N_NN लाद\V_VM के\PSP बइठलन\V_VM तो\PR_PRL जहाज\N_NN खुलबे\N_NN न\RP_NEG करे\V_VM ।\RD_PUNC
msd2020	ऊ\PR_PRP जहाज\N_NN के\PSP अहसन\N_NN बात\N_NN हल\V_VAUX कि\CC_CCS कोई\PR_PRI मोसाफिर\N_NN के\PSP कोई\PR_PRI समान\N_NN छूट\V_VM जाय\V_VAUX तो\PR_PRL खुलबे\V_VM न\RP_NEG करे\V_VAUX ।\RD_PUNC
msd2021	से\PSP जहाज\N_NN के\PSP हंकवताहर\N_NN कहलन\V_VM कि\CC_CCS केकरो\PR_PRI कोई\PR_PRI समान\N_NN छूटल\V_VM हे\V_VAUX ।\RD_PUNC
msd2022	ऊ\PR_PRP जा\V_VM के\PSP ले\V_VAUX आवे\V_VM तो\PR_PRL केकरो\PR_PRI इयादे\N_NN न\RP_NEG परे\N_NN बाकि\CC_CCD जहाज\N_NN न\RP_NEG खुलल\V_VM ।\RD_PUNC
msd2023	तो\PR_PRL अंत\N_NN मँ\N_NN राजा\N_NN के\PSP इयाद\N_NN परल\V_VM कि\CC_CCS हम\PR_PRP छोटकी\JJ बेटी\N_NN ला\PSP हारुनी\N_NN पंखान\N_NN लेली\V_VM हे\V_VAUX ।\RD_PUNC
msd2024	से\CC_CCD ऊ\PR_PRP जहाज\N_NN से\PSP उतर\V_VM के\PSP हारुनी\N_NN पंखा\N_NN खोजे\V_VM लगलन\V_VAUX त\N_NN एने\DM_DMD जहाज\N_NN खुल\V_VM गेल\V_VAUX ।\RD_PUNC
