ID	Value
msd1001	उहाँ\DM_DMD देखइत\V_VM हे\V_VAUX कि\CC_CCS लालपरी\N_NN के\PSP माय\N_NN देखइत\V_VM ही\RP_RPD खाय\V_VM ला\PSP दउगल\V_VM तइसहीं\DM_DMR लड़का\N_NN चिट्टी\N_NN फेंक\V_VM देलक\V_VAUX ।\RD_PUNC
msd1002	चिट्टी\N_NN पढ़के\V_VM ओकरा\PR_PRP खुब\QT_QTF स्वागत\N_NN कयलक\V_VM ।\RD_PUNC
msd1003	दुसर\QT_QTO दिन\N_NN कहलक\N_NN कि\CC_CCS इनकर\PR_PRP बड़की\JJ बहिन\N_NN के\PSP परसो\N_NN होवे\V_VM लागी\V_VAUX हइना\V_VAUX ,\RD_PUNC से\PSP ही\RP_RPD खातिर\N_NN बोलवले\V_VM हथिन\V_VAUX ।\RD_PUNC
msd1004	दैतिन\N_NN जाय\V_VM ला\PSP हुकुम\N_NN दे\V_VM देलक\V_VAUX ।\RD_PUNC
msd1005	लड़का\N_NN जमुरत\N_NN के\PSP गुच्छा\N_NN लेके\V_VM अपन\PR_PRF घरे\N_NN आ\V_VM गेल\V_VAUX ।\RD_PUNC
msd1006	दोसर\QT_QTO दिन\N_NN सबेरे\N_NN दीसा\N_NN फिरे\V_VM जाइत\V_VM हल\V_VAUX तो\N_NN राजा\N_NN के\PSP सिपाही\N_NN देख\V_VM के\PSP राजा\N_NN के\PSP खबर\N_NN कर\V_VM देलक\V_VAUX ।\RD_PUNC
msd1007	राजा\N_NN तुरत\RP_RPD सईस\N_NN के\PSP बोलवलन\V_VM ।\RD_PUNC
msd1008	सईस\N_NN कहलक\V_VM अपने\PR_PRP बेगार\N_NN के\PSP भेज\V_VM दीहीं\V_VAUX ।\RD_PUNC
msd1009	जमुरत\N_NN के\PSP गुच्छा\N_NN दे\V_VM देब\V_VAUX ।\RD_PUNC
msd1010	जब\PR_PRL राजा\N_NN के\PSP बेगार\N_NN आयलतऽ\V_VM जमुरत\N_NN के\PSP मुँड़ी\N_NN काट\V_VM देलक\V_VAUX तो\PR_PRL जमुरत\N_NN के\PSP ढेर\QT_QTF मानी\RP_CL गुच्छा\N_NN निकल\V_VM गेल\V_VAUX ।\RD_PUNC
msd1011	एकरा\DM_DMI बाद\N_NN बेगार\N_NN से\PSP कहलक\N_NN कि\CC_CCS जेतना\QT_QTF मानी\RP_CL लेवे\V_VM के\PSP होवे\V_VM से\PSP राजा\N_NN के\PSP दे\V_VM दंऽ\V_VAUX ।\RD_PUNC
msd1012	बोरा\N_NN -\RD_PUNC के\PSP -\RD_PUNC बोरा\N_NN बेगार\N_NN गुच्छा\N_NN लेके\V_VM राजा\N_NN ही\RP_RPD पहुँचा\V_VM देलक\V_VAUX ।\RD_PUNC
msd1013	राजा\N_NN अप्पन\PR_PRP लड़की\N_NN के\PSP दे\V_VM देलन\V_VAUX ।\RD_PUNC
msd1014	लड़की\N_NN लाल\N_NN के\PSP हार\N_NN में\PSP जमुरत\N_NN के\PSP गुच्छा\N_NN गाँथ\V_VM लेलक\V_VAUX आउ\CC_CCD सिंगार\N_NN -\RD_PUNC पटार\N_NN कर\N_NN के\PSP पलंग\N_NN पर\PSP सूतल\V_VM हल\V_VAUX ।\RD_PUNC
msd1015	एकरे\DM_DMD पर\PSP मैना\N_NN कहलक\V_VM कि\CC_CCS राजा\N_NN के\PSP लड़की\N_NN केतना\QT_QTF सुन्नर\N_NN लगइत\V_VM हथिन\V_VAUX ।\RD_PUNC
msd1016	एकरा\DM_DMD पर\PSP फिन\CC_CCD तोता\N_NN कहलक\V_VM -\RD_PUNC आखिर\RP_RPD तू\PR_PRP हे\V_VAUX तो\PR_PRL सत्तूखोर\N_NN नऽ\RP_NEG ।\RD_PUNC
msd1017	का\PR_PRQ जाने\V_VM गेले\V_VAUX सुन्नरता\N_NN के\PSP हाल\N_NN ।\RD_PUNC
msd1018	लड़की\N_NN तब\PR_PRL सोभइत\V_VM हल\V_VAUX जब\PR_PRL इनका\PR_PRP साथे\PSP पति\N_NN रहतथिन\V_VM हल\V_VAUX ।\RD_PUNC
msd1019	एतना\DM_DMD सुन\V_VM के\PSP लड़की\N_NN फिन\CC_CCD चद्दर\N_NN तान\V_VM के\PSP खटवास\V_VM ले\V_VAUX लेलक\V_VAUX ।\RD_PUNC
