ID	Value
msd3001	दोसर\QT_QTO दिन\N_NN फिनो\CC_CCD पंडी\N_NN जी\N_NN ओही\DM_DMD इनरा\N_NN पर\PSP जाके\V_VM स्नान\N_NN पूजा\N_NN के\PSP बाद\PSP कलेवा\N_NN करे\V_VM ला\PSP तो\PR_PRL सात\QT_QTC पुआ\N_NN देख\V_VM के\V_VAUX कहलन\V_VAUX कि\CC_CCS एगो\QT_QTC खाऊं\V_VM कि\CC_CCS दुगो\QT_QTC खाऊँ\N_NN कि\CC_CCS सातो\QT_QTC खा\V_VM जाऊं\V_VAUX ।\RD_PUNC
msd3002	उ\PR_PRP सातो\QT_QTC परी\N_NN इ\DM_DMD सुन\V_VM के\V_VAUX पंडी\N_NN जी\N_NN के\PSP गोड़\N_NN पर\PSP गिर\V_VM के\V_VAUX गिड़गिड़ाय\V_VAUX लगलन\V_VAUX ।\RD_PUNC
msd3003	कहलन\V_VM कि\CC_CCS महराज\N_NN हमनी\PR_PRP धोखा\N_NN न\RP_NEG देई\V_VM बाकि\CC_CCD कोई\PR_PRI बीच\N_NST में\PSP हि\RP_RPD धोखा\N_NN दे\V_VM हे\V_VAUX ।\RD_PUNC
msd3004	अबकी\RB अइसन\RP_RPD चीज\N_NN देइत\V_VM हीवऽ\V_VAUX ।\RD_PUNC
msd3005	﻿कि\CC_CCS धोखा\N_NN न\RP_NEG होयत\V_VM ।\RD_PUNC
msd3006	से\CC_CCD परियन\N_NN इन्दर\N_NNP महरान\N_NN से\PSP एगो\QT_QTC सोटा\N_NN मांग\V_VM के\V_VAUX लौलक\V_VAUX ।\RD_PUNC
msd3007	ई\DM_DMI सोंटा\N_NN धीरे\RB -\RD_PUNC धीरे\RB कहे\V_VM से\PSP गते\RB -\RD_PUNC गते\RB देह\N_NN के\PSP सोंटऽ\V_VM हल\V_VAUX आउ\CC_CCD कस\RB के\PSP कहे\V_VM से\PSP कस\RB के\PSP सोट\V_VM दे\V_VAUX हल\V_VAUX आउ\CC_CCD बंद\N_NN कह\N_NN देवे\N_NN पर\PSP रुक\N_NN जा\V_VM हल\V_VAUX ।\RD_PUNC
msd3008	पंडी\N_NN जी\N_NN सोंटा\N_NN लेके\V_VM ओही\DM_DMD कुम्हार\N_NN के\PSP घर\N_NN रात\N_NN में\PSP ठहर\V_VM गेलन\V_VAUX ।\RD_PUNC
msd3009	सुतला\V_VM पर\PSP सोंटा\N_NN से\PSP धीरे\RB -\RD_PUNC धीरे\RB अप्पन\PR_PRP देह\N_NN सोटवा\V_VM लेलन\V_VAUX ।\RD_PUNC
msd3010	एकरा\DM_DMD देख\V_VM के\V_VAUX सुतला\V_VM पर\PSP कुम्हइनिया\N_NN सोंटा\N_NN के\PSP ले\V_VM गेल\V_VAUX आउ\CC_CCD कस\RB के\PSP देह\N_NN सोटवावे\V_VM लगल\V_VAUX ।\RD_PUNC
msd3011	सोंटा\N_NN जब\PR_PRL देह\N_NN के\PSP खुब\RP_INTF मरम्मत\V_VM करे\V_VAUX लगल\V_VAUX तो\PR_PRL कुम्हइनियां\N_NN चिल्लाय\V_VM लगल\V_VAUX ।\RD_PUNC
msd3012	ओकरा\PR_PRP मरे\V_VM के\V_VAUX बारी\N_NN आ\V_VM गेल\V_VAUX तो\PR_PRL कुम्हरा\N_NN पंडी\N_NN जी\N_NN के\PSP गोड़\N_NN -\RD_PUNC हाथ\N_NN परे\V_VM लगल\V_VAUX ।\RD_PUNC
msd3013	पंडी\N_NN जी\N_NN कुम्हइनियां\N_NN के\PSP पास\N_NST गेलन\V_VM तो\PR_PRL ऊ\PR_PRP कहलक\V_VM कि\CC_CCS बरहगुना\N_NN आउ\CC_CCD बकरी\N_NN हमरे\PR_PRP पास\N_NST हे\V_VM ।\RD_PUNC
msd3014	ई\DM_DMI सब\QT_QTF ले\V_VM जाई\V_VAUX आउ\CC_CCD हमर\PR_PRP जान\N_NN बकस\N_NN दिहीं\V_VM ।\RD_PUNC
msd3015	एकरा\DM_DMD बाद\PSP पंडी\N_NN जी\N_NN बरहगुना\N_NN बकरीसोंटा\N_NN आउ\CC_CCD दान-दहेज\N_NN लेके\V_VM बिदा\N_NN होयलन\V_VM ।\RD_PUNC
msd3016	पंडी\N_NN जी\N_NN खुसी\N_NN से\PSP घर\N_NN लौट\V_VM गेलन\V_VAUX ।\RD_PUNC
msd3017	बाह्मण\N_NN एक\QT_QTC -\RD_PUNC एक\QT_QTC कर\V_VM बहरगुना\N_NN उाउ\N_NN बकरी\N_NN के\PSP परीक्षा\N_NN लेलन\V_VM ।\RD_PUNC
msd3018	सोंटा\N_NN के\PSP परीक्षा\N_NN लेवे\V_VM लगलन\V_VAUX तो\PR_PRL खूब\QT_QTF सोटा\V_VM गेलन\V_VAUX ।\RD_PUNC
msd3019	अंत\N_NN में\PSP पंडी\N_NN जी\N_NN सोंटा\N_NN के\PSP बंद\N_NN कयलन\V_VM ।\RD_PUNC
msd3020	फिन\CC_CCD बरहगुना\N_NN आउ\CC_CCD बकरी\N_NN से\PSP बाबा\N_NN जी\N_NN मा्ला-माल\N_NN हो\V_VM गेलन\V_VAUX ।\RD_PUNC
msd3021	ऊ\PR_PRP दुनो\QT_QTC के\PSP दिन\N_NN खुसी\N_NN में\PSP बीते\V_VM लगल\V_VAUX ।\RD_PUNC
msd3022	एगो\QT_QTC साव\N_NN जी\N_NN हलन\V_VM ।\RD_PUNC
msd3023	उनका\PR_PRP एगो\QT_QTC बेटा\N_NN हल\V_VM ओकर\PR_PRP नाम\N_NN जुगेन्दर\N_NNP हल\V_VM ।\RD_PUNC
msd3024	ओकर\PR_PRP बाप\N_NN बचपने\N_NN में\PSP मर\V_VM गेल\V_VAUX तो\PR_PRL माय\N_NN पसौना-कुटौना\N_NN कर\V_VM के\V_VAUX ओकरा\PR_PRP पाललन\V_VM -\RD_PUNC पोसलन\V_VM ।\RD_PUNC
msd3025	जब\PR_PRL जुगेन्दर\N_NNP सेआन\N_NN हो\V_VM गेलक\V_VAUX तो\PR_PRL माय\N_NN से\PSP कहलक\V_VM कि\CC_CCS हमरा\PR_PRP कृछ\QT_QTF रूपेया\N_NN दे\V_VM हम\PR_PRP बेपार\N_NN करम\V_VM ।\RD_PUNC
msd3026	माय\N_NN एगो\QT_QTC धनी\JJ अदमी\N_NN से\PSP एक\QT_QTC हजार\N_NN रुपेया\N_NN आन\V_VM के\V_VAUX बेटा\N_NN के\PSP दे\V_VM देलक\V_VAUX ।\RD_PUNC
